Date	Price_in_USD
23-Jun-20	1.696930198
24-Jun-20	1.651894776
25-Jun-20	1.604103225
26-Jun-20	1.556439827
27-Jun-20	1.509773983
28-Jun-20	1.462027114
29-Jun-20	1.413446036
30-Jun-20	1.36361582
1-Jul-20	1.313225325
2-Jul-20	1.261191767
3-Jul-20	1.208926842
4-Jul-20	1.156832779
5-Jul-20	1.104588666
6-Jul-20	1.053077548
7-Jul-20	1.002229374
8-Jul-20	0.952147456
9-Jul-20	0.904088429
10-Jul-20	0.856551948
11-Jul-20	0.811333927
12-Jul-20	0.768598066
13-Jul-20	0.729949752
14-Jul-20	0.695131852
15-Jul-20	0.6616196
16-Jul-20	0.630297408
17-Jul-20	0.599081334
18-Jul-20	0.569100473
19-Jul-20	0.540342502
20-Jul-20	0.514843437
21-Jul-20	0.491730792
22-Jul-20	0.471482749
23-Jul-20	0.45360185
24-Jul-20	0.437781924
25-Jul-20	0.425234395
26-Jul-20	0.414231902
27-Jul-20	0.404314573
28-Jul-20	0.393801072
29-Jul-20	0.384176991
30-Jul-20	0.374315635
31-Jul-20	0.365255305
1-Aug-20	0.354894315
2-Aug-20	0.344717365
3-Aug-20	0.334759619
4-Aug-20	0.324537419
5-Aug-20	0.313245426
6-Aug-20	0.299477105
7-Aug-20	0.284108929
8-Aug-20	0.268172916
9-Aug-20	0.253238478
10-Aug-20	0.239360111
11-Aug-20	0.226299127
12-Aug-20	0.21343477
13-Aug-20	0.201619605
14-Aug-20	0.1905688
15-Aug-20	0.180339067
16-Aug-20	0.172254029
17-Aug-20	0.165573317
18-Aug-20	0.158223373
19-Aug-20	0.151774535
20-Aug-20	0.146003319
21-Aug-20	0.141025426
22-Aug-20	0.138436197
23-Aug-20	0.135458456
24-Aug-20	0.133173294
25-Aug-20	0.131149081
26-Aug-20	0.129905477
27-Aug-20	0.128404476
28-Aug-20	0.126773283
29-Aug-20	0.125916702
30-Aug-20	0.126226868
31-Aug-20	0.127156085
1-Sep-20	0.130271313
2-Sep-20	0.135068308
3-Sep-20	0.14241113
4-Sep-20	0.152428896
5-Sep-20	0.163412822
6-Sep-20	0.175344675
7-Sep-20	0.188815759
8-Sep-20	0.204591849
9-Sep-20	0.2224861
10-Sep-20	0.242150307
11-Sep-20	0.262103091
12-Sep-20	0.284497436
13-Sep-20	0.30987264
14-Sep-20	0.337598439
15-Sep-20	0.367458121
16-Sep-20	0.400769611
17-Sep-20	0.435947492
18-Sep-20	0.472791851
19-Sep-20	0.510953077
20-Sep-20	0.550634793
21-Sep-20	0.592876296
22-Sep-20	0.63726534
23-Sep-20	0.683810749
24-Sep-20	0.732845661
25-Sep-20	0.785184272
26-Sep-20	0.840500458
27-Sep-20	0.899118365
28-Sep-20	0.961748932
29-Sep-20	1.026529438
30-Sep-20	1.094366953
1-Oct-20	1.164162206
2-Oct-20	1.233949589
3-Oct-20	1.305312038
4-Oct-20	1.379555234
5-Oct-20	1.45552347
6-Oct-20	1.53459461
7-Oct-20	1.61551277
8-Oct-20	1.699744858
9-Oct-20	1.78844137
10-Oct-20	1.881383652
11-Oct-20	1.977272466
12-Oct-20	2.076222274
13-Oct-20	2.17745847
14-Oct-20	2.282455527
15-Oct-20	2.390466533
16-Oct-20	2.49991136
17-Oct-20	2.611089666
18-Oct-20	2.723635201
19-Oct-20	2.838849983
20-Oct-20	2.955956771
21-Oct-20	3.077408976
22-Oct-20	3.204142898
23-Oct-20	3.335328619
24-Oct-20	3.470424723
25-Oct-20	3.609670608
26-Oct-20	3.752515548
27-Oct-20	3.899737597
28-Oct-20	4.050525133
29-Oct-20	4.205037374
30-Oct-20	4.363449614
31-Oct-20	4.526054078
1-Nov-20	4.691905891
2-Nov-20	4.860833453
3-Nov-20	5.031614845
4-Nov-20	5.203834516
5-Nov-20	5.375741106
6-Nov-20	5.546747375
7-Nov-20	5.716729651
8-Nov-20	5.886745871
9-Nov-20	6.055065157
10-Nov-20	6.221879721
11-Nov-20	6.388826341
12-Nov-20	6.554825318
13-Nov-20	6.720661929
14-Nov-20	6.88673513
15-Nov-20	7.052822524
16-Nov-20	7.215935372
17-Nov-20	7.376065503
18-Nov-20	7.533256781
19-Nov-20	7.689370086
20-Nov-20	7.843442736
21-Nov-20	7.996475376
22-Nov-20	8.150074258
23-Nov-20	8.305611913
24-Nov-20	8.46303329
25-Nov-20	8.620165704
26-Nov-20	8.777219806
27-Nov-20	8.933990688
28-Nov-20	9.089126947
29-Nov-20	9.242972922
30-Nov-20	9.394944265
1-Dec-20	9.544835051
2-Dec-20	9.692063814
3-Dec-20	9.835425582
4-Dec-20	9.975916379
5-Dec-20	10.11434106
6-Dec-20	10.25286742
7-Dec-20	10.3903628
8-Dec-20	10.52600703
9-Dec-20	10.66050803
10-Dec-20	10.7938108
11-Dec-20	10.9280683
12-Dec-20	11.06267078
13-Dec-20	11.1975698
14-Dec-20	11.33309629
15-Dec-20	11.46955274
16-Dec-20	11.60523176
17-Dec-20	11.73885792
18-Dec-20	11.87158351
19-Dec-20	12.00466838
20-Dec-20	12.13747039
21-Dec-20	12.27078393
22-Dec-20	12.40519443
23-Dec-20	12.54189814
24-Dec-20	12.67871666
25-Dec-20	12.81715615
26-Dec-20	12.95756408
27-Dec-20	13.0985137
28-Dec-20	13.23915688
29-Dec-20	13.37807254
30-Dec-20	13.51557556
31-Dec-20	13.65136977
1-Jan-21	13.7840738
2-Jan-21	13.91289266
3-Jan-21	14.03705089
4-Jan-21	14.15799681
5-Jan-21	14.27831404
6-Jan-21	14.39762579
7-Jan-21	14.51589221
8-Jan-21	14.63274381
9-Jan-21	14.74876852
10-Jan-21	14.86266231
11-Jan-21	14.97360199
12-Jan-21	15.08312833
13-Jan-21	15.18993998
14-Jan-21	15.29360038
15-Jan-21	15.3935376
16-Jan-21	15.49179738
17-Jan-21	15.59091406
18-Jan-21	15.69039619
19-Jan-21	15.78916867
20-Jan-21	15.88735671
21-Jan-21	15.98538527
22-Jan-21	16.08112353
23-Jan-21	16.17391307
24-Jan-21	16.26567656
25-Jan-21	16.35713803
26-Jan-21	16.44871537
27-Jan-21	16.5397466
28-Jan-21	16.63108925
29-Jan-21	16.72227234
30-Jan-21	16.81356891
31-Jan-21	16.90485556
1-Feb-21	16.99516782
2-Feb-21	17.08488328
3-Feb-21	17.1736552
4-Feb-21	17.25918651
5-Feb-21	17.34339247
6-Feb-21	17.42744977
7-Feb-21	17.51058143
8-Feb-21	17.5928491
9-Feb-21	17.67329668
10-Feb-21	17.75338673
11-Feb-21	17.83219205
12-Feb-21	17.91020418
13-Feb-21	17.98834866
14-Feb-21	18.06718819
15-Feb-21	18.14619357
16-Feb-21	18.22350101
17-Feb-21	18.30102857
18-Feb-21	18.37866731
19-Feb-21	18.45679664
20-Feb-21	18.5356908
21-Feb-21	18.61716931
22-Feb-21	18.70057405
23-Feb-21	18.78500123
24-Feb-21	18.87058232
25-Feb-21	18.95566515
26-Feb-21	19.04061941
27-Feb-21	19.12719495
28-Feb-21	19.2147459
1-Mar-21	19.3047801
2-Mar-21	19.39631882
3-Mar-21	19.48910716
4-Mar-21	19.58099476
5-Mar-21	19.67349899
6-Mar-21	19.76493946
7-Mar-21	19.85647348
8-Mar-21	19.9494427
9-Mar-21	20.04329213
10-Mar-21	20.13845871
11-Mar-21	20.23445849
12-Mar-21	20.33032024
13-Mar-21	20.42562608
14-Mar-21	20.52046097
15-Mar-21	20.61524779
16-Mar-21	20.71016966
17-Mar-21	20.8052397
18-Mar-21	20.90023646
19-Mar-21	20.99487347
20-Mar-21	21.08986851
21-Mar-21	21.18490114
22-Mar-21	21.27857393
23-Mar-21	21.37184038
24-Mar-21	21.46490439
25-Mar-21	21.55718314
26-Mar-21	21.64985127
27-Mar-21	21.74283869
28-Mar-21	21.83608693
29-Mar-21	21.92946403
30-Mar-21	22.02133424
31-Mar-21	22.10944577
1-Apr-21	22.19385815
2-Apr-21	22.27498858
3-Apr-21	22.35306457
4-Apr-21	22.42842291
5-Apr-21	22.50191138
6-Apr-21	22.57366681
7-Apr-21	22.64300451
8-Apr-21	22.71216194
9-Apr-21	22.78098223
10-Apr-21	22.84815239
11-Apr-21	22.91380216
12-Apr-21	22.97782105
13-Apr-21	23.04034539
14-Apr-21	23.1018262
15-Apr-21	23.16186186
16-Apr-21	23.21934015
17-Apr-21	23.27629022
18-Apr-21	23.33018158
19-Apr-21	23.38201394
20-Apr-21	23.43065449
21-Apr-21	23.4773311
22-Apr-21	23.52383789
23-Apr-21	23.57034866
24-Apr-21	23.61717935
25-Apr-21	23.66653057
26-Apr-21	23.71708712
27-Apr-21	23.77017596
28-Apr-21	23.82401198
29-Apr-21	23.88178291
30-Apr-21	23.94301152
1-May-21	24.00525025
2-May-21	24.06883949
3-May-21	24.13421305
4-May-21	24.20028922
5-May-21	24.26670599
6-May-21	24.33345756
7-May-21	24.40199101
8-May-21	24.47092565
9-May-21	24.54033294
10-May-21	24.61017023
11-May-21	24.68041807
12-May-21	24.7486376
13-May-21	24.8132753
14-May-21	24.87539282
15-May-21	24.93464117
16-May-21	24.98998396
17-May-21	25.0410892
18-May-21	25.08805368
19-May-21	25.13218598
20-May-21	25.17371634
21-May-21	25.21385721
22-May-21	25.24993993
23-May-21	25.28462424
24-May-21	25.31743729
25-May-21	25.35129033
26-May-21	25.385937
27-May-21	25.42218055
28-May-21	25.45893293
29-May-21	25.4946143
30-May-21	25.52922408
31-May-21	25.56379681
1-Jun-21	25.59743267
2-Jun-21	25.63056941
3-Jun-21	25.66245192
4-Jun-21	25.69446273
5-Jun-21	25.72564538
6-Jun-21	25.75594896
7-Jun-21	25.78581189
8-Jun-21	25.81350316
9-Jun-21	25.8397459
10-Jun-21	25.86390094
11-Jun-21	25.88729494
12-Jun-21	25.91195901
13-Jun-21	25.93727372
14-Jun-21	25.96241778
15-Jun-21	25.98847788
16-Jun-21	26.01596839
17-Jun-21	26.04621104
18-Jun-21	26.07736271
19-Jun-21	26.10992745
20-Jun-21	26.14474348
21-Jun-21	26.1811641
22-Jun-21	26.21971134
23-Jun-21	26.26155454
24-Jun-21	26.30615804
25-Jun-21	26.35386467
26-Jun-21	26.40472482
27-Jun-21	26.45854179
28-Jun-21	26.51666408
29-Jun-21	26.57728764
30-Jun-21	26.64172542
1-Jul-21	26.70863145
2-Jul-21	26.77992459
3-Jul-21	26.85372649
4-Jul-21	26.92727786
5-Jul-21	27.00245243
6-Jul-21	27.07882985
7-Jul-21	27.15642962
8-Jul-21	27.23443557
9-Jul-21	27.31353524
10-Jul-21	27.39381554
11-Jul-21	27.47293472
12-Jul-21	27.55147367
13-Jul-21	27.62951855
14-Jul-21	27.70780442
15-Jul-21	27.78639967
16-Jul-21	27.86598238
17-Jul-21	27.94676217
18-Jul-21	28.02796126
19-Jul-21	28.11100445
20-Jul-21	28.19741823
21-Jul-21	28.28713499
22-Jul-21	28.38146278
23-Jul-21	28.47903093
24-Jul-21	28.58178776
25-Jul-21	28.6880206
26-Jul-21	28.7983801
27-Jul-21	28.91286368
28-Jul-21	29.02979459
29-Jul-21	29.14915815
30-Jul-21	29.27164471
31-Jul-21	29.39657584
1-Aug-21	29.52363573
2-Aug-21	29.65163703
3-Aug-21	29.78021411
4-Aug-21	29.90890363
5-Aug-21	30.03942076
6-Aug-21	30.17207403
7-Aug-21	30.30648996
8-Aug-21	30.44285961
9-Aug-21	30.58089474
10-Aug-21	30.7205922
11-Aug-21	30.86257749
12-Aug-21	31.00640017
13-Aug-21	31.15348346
14-Aug-21	31.30179002
15-Aug-21	31.45178751
16-Aug-21	31.60342956
17-Aug-21	31.75671064
18-Aug-21	31.91212383
19-Aug-21	32.07027534
20-Aug-21	32.23116024
21-Aug-21	32.3945971
22-Aug-21	32.56143736
23-Aug-21	32.73220213
24-Aug-21	32.90736363
25-Aug-21	33.08541938
26-Aug-21	33.26762058
27-Aug-21	33.45194955
28-Aug-21	33.63911988
29-Aug-21	33.82774907
30-Aug-21	34.01976756
31-Aug-21	34.21382311
1-Sep-21	34.41178434
2-Sep-21	34.61388492
3-Sep-21	34.81979174
4-Sep-21	35.02912319
5-Sep-21	35.24216734
6-Sep-21	35.45944964
7-Sep-21	35.68090337
8-Sep-21	35.90553328
9-Sep-21	36.13329096
10-Sep-21	36.3661388
11-Sep-21	36.6037758
12-Sep-21	36.84588283
13-Sep-21	37.09307124
14-Sep-21	37.3451415
15-Sep-21	37.60126508
16-Sep-21	37.86125757
17-Sep-21	38.12439076
18-Sep-21	38.39057439
19-Sep-21	38.66034889
20-Sep-21	38.93455544
21-Sep-21	39.21362631
22-Sep-21	39.49677368
23-Sep-21	39.78418687
24-Sep-21	40.07555147
25-Sep-21	40.37352321
26-Sep-21	40.67736967
27-Sep-21	40.9861471
28-Sep-21	41.29894608
29-Sep-21	41.61477297
30-Sep-21	41.93541299
1-Oct-21	42.25795138
2-Oct-21	42.58214753
3-Oct-21	42.90517698
4-Oct-21	43.22959566
5-Oct-21	43.55503315
6-Oct-21	43.88003145
7-Oct-21	44.20477975
8-Oct-21	44.52906381
9-Oct-21	44.85116694
10-Oct-21	45.17268253
11-Oct-21	45.49299194
12-Oct-21	45.81220481
13-Oct-21	46.13129305
14-Oct-21	46.44955814
15-Oct-21	46.7669435
16-Oct-21	47.0828121
17-Oct-21	47.39813404
18-Oct-21	47.71348514
19-Oct-21	48.02828759
20-Oct-21	48.34178072
21-Oct-21	48.6548906
22-Oct-21	48.96602044
23-Oct-21	49.27608368
24-Oct-21	49.58483279
25-Oct-21	49.89313617
26-Oct-21	50.20089153
27-Oct-21	50.50736325
28-Oct-21	50.81327511
29-Oct-21	51.12022149
30-Oct-21	51.42836367
31-Oct-21	51.73534673
1-Nov-21	52.04301485
2-Nov-21	52.35030193
3-Nov-21	52.65878196
4-Nov-21	52.96787112
5-Nov-21	53.27852761
6-Nov-21	53.58988983
7-Nov-21	53.90350111
8-Nov-21	54.21869585
9-Nov-21	54.53526922
10-Nov-21	54.85235131
11-Nov-21	55.17097496
12-Nov-21	55.49046576
13-Nov-21	55.8130961
14-Nov-21	56.13796933
15-Nov-21	56.46685146
16-Nov-21	56.79930619
17-Nov-21	57.13489033
18-Nov-21	57.47306182
19-Nov-21	57.81315168
20-Nov-21	58.15479312
21-Nov-21	58.49748294
22-Nov-21	58.84213561
23-Nov-21	59.19039598
24-Nov-21	59.54136332
25-Nov-21	59.89418973
26-Nov-21	60.24938896
27-Nov-21	60.60568656
28-Nov-21	60.96397264
29-Nov-21	61.32453496
30-Nov-21	61.68749457
1-Dec-21	62.05281959
2-Dec-21	62.42053467
3-Dec-21	62.79178181
4-Dec-21	63.16697185
5-Dec-21	63.54614076
6-Dec-21	63.92859043
7-Dec-21	64.31392442
8-Dec-21	64.70216485
9-Dec-21	65.09257189
10-Dec-21	65.48574989
11-Dec-21	65.88145764
12-Dec-21	66.28027783
13-Dec-21	66.68022608
14-Dec-21	67.08194669
15-Dec-21	67.48467393
16-Dec-21	67.88622508
17-Dec-21	68.28631833
18-Dec-21	68.68487913
19-Dec-21	69.08017813
20-Dec-21	69.47278351
21-Dec-21	69.86287859
22-Dec-21	70.24979874
23-Dec-21	70.63386268
24-Dec-21	71.01363543
25-Dec-21	71.389999
26-Dec-21	71.76265476
27-Dec-21	72.13180027
28-Dec-21	72.4950697
29-Dec-21	72.85425596
30-Dec-21	73.20908505
31-Dec-21	73.56190607
1-Jan-22	73.91236278
2-Jan-22	74.2608886
3-Jan-22	74.60726681
4-Jan-22	74.9510862
5-Jan-22	75.29344834
6-Jan-22	75.63391562
7-Jan-22	75.97359573
8-Jan-22	76.31137506
9-Jan-22	76.64707413
10-Jan-22	76.98108989
11-Jan-22	77.31384561
12-Jan-22	77.64767711
13-Jan-22	77.98230967
14-Jan-22	78.3185349
15-Jan-22	78.65732165
16-Jan-22	78.9975817
17-Jan-22	79.33839744
18-Jan-22	79.68158005
19-Jan-22	80.02643985
20-Jan-22	80.37402576
21-Jan-22	80.72521478
22-Jan-22	81.07997036
23-Jan-22	81.43695754
24-Jan-22	81.79596992
25-Jan-22	82.15776887
26-Jan-22	82.52260589
27-Jan-22	82.89016847
28-Jan-22	83.25936554
29-Jan-22	83.63114205
30-Jan-22	84.00584321
31-Jan-22	84.38236272
1-Feb-22	84.76167135
2-Feb-22	85.14403132
3-Feb-22	85.52819046
4-Feb-22	85.91387475
5-Feb-22	86.30079674
6-Feb-22	86.68798132
7-Feb-22	87.0744715
8-Feb-22	87.46022993
9-Feb-22	87.84661534
10-Feb-22	88.23302511
11-Feb-22	88.61922496
12-Feb-22	89.00593715
13-Feb-22	89.39174976
14-Feb-22	89.77540038
15-Feb-22	90.15596585
16-Feb-22	90.53449427
17-Feb-22	90.91050435
18-Feb-22	91.28464208
19-Feb-22	91.65491799
20-Feb-22	92.02219866
21-Feb-22	92.38567193
22-Feb-22	92.74622913
23-Feb-22	93.10426303
24-Feb-22	93.45756819
25-Feb-22	93.80681987
26-Feb-22	94.15295096
27-Feb-22	94.49672126
28-Feb-22	94.83796996
1-Mar-22	95.17648535
2-Mar-22	95.51095972
3-Mar-22	95.84207123
4-Mar-22	96.16953671
5-Mar-22	96.49137036
6-Mar-22	96.80782567
7-Mar-22	97.11899694
8-Mar-22	97.42562477
9-Mar-22	97.72616097
10-Mar-22	98.02251665
11-Mar-22	98.31613389
12-Mar-22	98.60705538
13-Mar-22	98.8955277
14-Mar-22	99.18050116
15-Mar-22	99.46186926
16-Mar-22	99.74031965
17-Mar-22	100.0173211
18-Mar-22	100.294104
19-Mar-22	100.5701469
20-Mar-22	100.8464924
21-Mar-22	101.1232922
22-Mar-22	101.400333
23-Mar-22	101.6775359
24-Mar-22	101.9549395
25-Mar-22	102.2322791
26-Mar-22	102.5086938
27-Mar-22	102.7859246
28-Mar-22	103.065065
29-Mar-22	103.3441583
30-Mar-22	103.6240104
31-Mar-22	103.9057898
1-Apr-22	104.1912009
2-Apr-22	104.4808729
3-Apr-22	104.7742431
4-Apr-22	105.0710401
5-Apr-22	105.3704862
6-Apr-22	105.6718666
7-Apr-22	105.9772353
8-Apr-22	106.285882
9-Apr-22	106.5991298
10-Apr-22	106.9152757
11-Apr-22	107.2359912
12-Apr-22	107.56092
13-Apr-22	107.8901007
14-Apr-22	108.2238281
15-Apr-22	108.5612543
16-Apr-22	108.9009209
17-Apr-22	109.2432604
18-Apr-22	109.5891173
19-Apr-22	109.9390658
20-Apr-22	110.292567
21-Apr-22	110.6482845
22-Apr-22	111.0069296
23-Apr-22	111.3674739
24-Apr-22	111.7314742
25-Apr-22	112.0973507
26-Apr-22	112.4646321
27-Apr-22	112.8344507
28-Apr-22	113.2059324
29-Apr-22	113.5792123
30-Apr-22	113.9536855
1-May-22	114.3291212
2-May-22	114.7077195
3-May-22	115.0876436
4-May-22	115.4705683
5-May-22	115.8543285
6-May-22	116.2396462
7-May-22	116.6264919
8-May-22	117.0152068
9-May-22	117.4062762
10-May-22	117.79877
11-May-22	118.1933865
12-May-22	118.5909847
13-May-22	118.9926031
14-May-22	119.3972136
15-May-22	119.8059906
16-May-22	120.218324
17-May-22	120.6357683
18-May-22	121.0563268
19-May-22	121.4796404
20-May-22	121.9055527
21-May-22	122.3349498
22-May-22	122.766382
23-May-22	123.2020273
24-May-22	123.6404821
25-May-22	124.0807166
26-May-22	124.5238634
27-May-22	124.9683721
28-May-22	125.4147777
29-May-22	125.8646051
30-May-22	126.3178671
31-May-22	126.7748189
1-Jun-22	127.235707
2-Jun-22	127.7004825
3-Jun-22	128.1697383
4-Jun-22	128.6434691
5-Jun-22	129.121146
6-Jun-22	129.6041233
7-Jun-22	130.0915732
8-Jun-22	130.5832951
9-Jun-22	131.0777459
10-Jun-22	131.5749004
11-Jun-22	132.075523
12-Jun-22	132.5808882
13-Jun-22	133.0906633
14-Jun-22	133.6061224
15-Jun-22	134.1280499
16-Jun-22	134.6571959
17-Jun-22	135.1926138
18-Jun-22	135.7348944
19-Jun-22	136.2840464
20-Jun-22	136.8407502
21-Jun-22	137.4029531
22-Jun-22	137.9694155
23-Jun-22	138.5401796
24-Jun-22	139.1140223
25-Jun-22	139.6916191
26-Jun-22	140.2732389
27-Jun-22	140.8573918
28-Jun-22	141.4445859
29-Jun-22	142.0345433
30-Jun-22	142.6273976
1-Jul-22	143.2236708
2-Jul-22	143.8232819
3-Jul-22	144.4258311
4-Jul-22	145.0317727
5-Jul-22	145.639383
6-Jul-22	146.2498653
7-Jul-22	146.8628791
8-Jul-22	147.4783054
9-Jul-22	148.0956258
10-Jul-22	148.7158854
11-Jul-22	149.3394006
12-Jul-22	149.9633322
13-Jul-22	150.5868768
14-Jul-22	151.2113942
15-Jul-22	151.8352138
16-Jul-22	152.4564651
17-Jul-22	153.0755763
18-Jul-22	153.6930567
19-Jul-22	154.3087637
20-Jul-22	154.9234307
21-Jul-22	155.5350838
22-Jul-22	156.1433579
23-Jul-22	156.7507329
24-Jul-22	157.3567223
25-Jul-22	157.9622295
26-Jul-22	158.5655924
27-Jul-22	159.1676515
28-Jul-22	159.7697002
29-Jul-22	160.373417
30-Jul-22	160.9781486
31-Jul-22	161.5837772
1-Aug-22	162.1903817
2-Aug-22	162.7979952
3-Aug-22	163.4066302
4-Aug-22	164.0165734
5-Aug-22	164.6283866
6-Aug-22	165.2418534
7-Aug-22	165.857723
8-Aug-22	166.475271
9-Aug-22	167.0934651
10-Aug-22	167.7120522
11-Aug-22	168.3303088
12-Aug-22	168.9494061
13-Aug-22	169.5688912
14-Aug-22	170.1886864
15-Aug-22	170.8069379
16-Aug-22	171.4234143
17-Aug-22	172.0399146
18-Aug-22	172.65561
19-Aug-22	173.2702366
20-Aug-22	173.8855269
21-Aug-22	174.5022187
22-Aug-22	175.119933
23-Aug-22	175.7378334
24-Aug-22	176.3564654
25-Aug-22	176.9754085
26-Aug-22	177.5942619
27-Aug-22	178.2131849
28-Aug-22	178.8300905
29-Aug-22	179.4464697
30-Aug-22	180.0611213
31-Aug-22	180.6739291
1-Sep-22	181.2839934
2-Sep-22	181.8919585
3-Sep-22	182.4964875
4-Sep-22	183.0978525
5-Sep-22	183.696484
6-Sep-22	184.2928634
7-Sep-22	184.8878548
8-Sep-22	185.4827746
9-Sep-22	186.0768557
10-Sep-22	186.6709478
11-Sep-22	187.2648133
12-Sep-22	187.858285
13-Sep-22	188.4516221
14-Sep-22	189.0438638
15-Sep-22	189.6376346
16-Sep-22	190.2317892
17-Sep-22	190.8258738
18-Sep-22	191.4196546
19-Sep-22	192.0115086
20-Sep-22	192.6018547
21-Sep-22	193.1871953
22-Sep-22	193.7700742
23-Sep-22	194.3487143
24-Sep-22	194.923401
25-Sep-22	195.4944394
26-Sep-22	196.0632277
